PlayerName,Base.X,Base.y,Base.z,Town.x,Town.y,Town.z
Jimmy121,-27776.64147989948,64.0,5764.214176921002,91.0,89.0,-340.0
Jissard,14812,64,19688,166,91,-275
Jmswzyk,3120.0,12.0,-6586.0,394.0,74.0,-454.0
Johnathan,2068.0,80.0,13053.0,375.0,81.0,-465.0
Johny,16308.33231382196,64.0,-23313.520135279923,19.0,93.0,-193.0
JonPole,-7099.369006767317,70.0,-11441.255668953996,486.0,88.0,-349.0
Jouuk,26846.224614456907,66.0,-28013.72095831722,372.0,88.0,-400.0
KK_Qiu,5017.825196520526,63.0,-19931.810043799094,313.0,90.0,-286.0
KUMA,-261.0,45.0,-16827.0,174.0,90.0,-234.0
Kees,2030.0,67.0,13051.0,133.0,90.0,31.0
LLL,-2114,56,-5662,230,88,-206
Lake,-14696.0,66.0,-21374.0,361.0,81.0,-454.0
LastAvengers,-29536.589949956833,65.0,-9525.738013603852,303.0,90.0,-288.0
Law_Aias,36934.0,76.0,21671.0,474.0,88.0,-388.0
Leaves,-35280.48471666907,63.0,-13165.53887502213,292.0,94.0,-329.0
Lee,22022.0,64.0,-24747.0,426.0,79.0,-454.0
Leonear,21008.0,11.0,-7051.0,375.0,86.0,-465.0
LifeJerry,470.0,66.0,-15854.0,402.0,79.0,-454.0
Light,30818.33423984984,7.0,-10153.965975109826,341.0,97.0,-356.0
Lightofyou,-27110.0,76.0,6279.0,438.0,79.0,-452.0
Lion,26467.783895762834,87.0625,-19777.616367491064,336.0,95.0,-370.0
Loong,10103,64,-15760,293,89,-231
LooooooL,-28431.038596746283,70.0,10013.988786672631,434.0,95.0,-413.0
Loverrabbit,-5165.239453492469,54.0,5293.710989564359,502.0,88.0,-330.0
LuckyRain,-32480.0,63.0,-20998.0,353.0,76.0,-467.0
Lzh,20911.0,88.0,509.0,353.0,86.0,-467.0
MADAO,9474.0,42.0,-3107.0,126.0,88.0,-228.0
MCMADAO,27910.63408280127,11.0,22523.81686490132,301.0,93.0,-403.0
MCbaogongtou,852.0,11.0,6252.0,386.0,84.0,-463.0
MCy,7172.591040310624,80.0,-4607.323700633455,361.0,88.0,-218.0
MENGDi79,-27084.289372320753,76.0,6324.360624489575,327.0,89.0,-271.0
MOMO,13882.0,68.0,-13554.0,434.0,79.0,-452.0
MadCat,-9610.871635068257,74.0,-19712.249625215703,486.0,88.0,-314.0
Magnetic,22391.700682473816,64.0,14509.699999988079,316.0,95.0,-402.0
ManfranMike,28613.321630033042,70.0,-23928.431044516892,307.0,91.0,-311.0
Margk,-7425.475300915654,58.0,38981.25916740933,381.0,88.0,-446.0
MeLmorviEs,-7524.0,59.0,-6723.0,418.0,84.0,-463.0
Meddog,344.0971670400809,80.0,35235.87565970162,519.0,88.0,-363.0
Medivh,27608.357252890764,79.0,-10946.474295557799,316.0,95.0,-342.0
Meng_Bao,34291.0,69.0,-28327.0,235.0,97.0,-275.0
MianT,-31312.233151551474,70.0,6900.085176113666,301.0,95.0,-371.0
MinecraftPuppy,-18599.0,49.0,366.0,342.0,96.0,-460.0
MiniHunter,35928.05930351789,64.0,-8084.016173211582,97.0,91.0,-108.0
Mol_sh,-28449.648346270522,74.0,5529.648843872966,248.0,90.0,-273.0
Moment,535.0,68.0,1748.0,262.0,87.0,-193.0
Mosaiczheng,-16377.0,64.0,2998.0,440.0,84.0,-461.0
MrYang,-3949.4221546317244,10.0,2813.585496989743,487.0,88.0,-276.0
Mukuchi,29698.0,89.0,-13766.0,408.0,84.0,-461.0
NO77,-5537.0,67.0,15418.0,138.0,88.0,-89.0
Nall_cc,16722.0,98.0,7024.0,245.0,88.0,-84.0
Nami,16722.0,98.0,7024.0,245.0,88.0,-84.0
Naya,-32057.90442872528,66.0,-31974.58374256106,581.0,88.0,-351.0
Nbbaibai,-2796.1708876911302,58.0,-2896.1977051618323,412.0,88.0,-257.0
Nbhuohuo,-17635.440852965712,66.0,-13168.614448620574,332.0,88.0,-258.0
NecroBG,-7702.0,62.0,-467.0,340.0,91.0,-456.0
Neeo,6660.0,64.0,-28675.0,365.0,81.0,-454.0
Nightplume,36109.88145283819,63.0,15951.53723344032,336.0,95.0,-374.0
None_Dream,23135.02133383329,67.0,-5306.466133002154,336.0,93.0,-411.0
OSCAR,-15522.0,79.0,-11392.0,441.0,100.0,-459.0
Occam,15061.627698105442,12.0,4753.1971140232945,381.0,90.0,-216.0
OnePiece,-6999.829818386559,71.0,-26735.855556849845,301.0,95.0,-356.0
Orihara,14082.0,67.0,15803.0,422.0,84.0,-467.0
Orzitsu,-11573.0,64.0,10220.0,226.0,88.0,32.0
PANDA_B,-10301.0,63.0,4788.0,357.0,81.0,-454.0
Pckk,-1021.2864093625894,66.0,16582.569230893383,486.0,88.0,-365.0
Peng,569.0,10.0,5474.0,386.0,79.0,-454.0
Phi,-37773.53412071819,67.0,-16744.1296107515,434.0,89.0,-456.0
Pinkis,-9524.0,71.0,-4968.0,159.0,88.0,-85.0
Porcupie,-14558.503021819522,11.0,11576.48932522625,585.0,88.0,-368.0
Psmyfish,-27050.189851801395,68.0,-29366.327635426893,34.0,91.0,-190.0
Qc_sox,37954.0,68.0,-13346.0,369.0,81.0,-467.0
Qinsky,1580.4699146781195,50.0,-40213.48925885442,518.0,88.0,-402.0
Queuy,15620,102,-9386,197,88,14
RAmen,20649.30000001192,63.0,-1198.5526319767755,394.0,95.0,-393.0
RERoger,569.0,10.0,5474.0,246.0,90.0,-273.0
RRReol_,23480.482211279166,69.0,-9239.405037378878,318.0,96.0,-342.0
Raintimesky,-19117.189340744713,59.0,-26364.16964540786,376.0,96.0,-164.0
Ranguree,5148.0,70.0,-1610.0,334.0,96.0,-460.0
Rawphy,3299.0,60.0,21435.0,353.0,76.0,-459.0
Rec,33015.41242258129,70.0,-9140.889624155898,20.0,90.0,-222.0
Redstoner,22903.0,61.0,17628.0,326.0,106.0,-463.0
Ree,315.0,83.0,3182.0,224.0,87.0,-65.0
Reek,8161.0,70.0,5336.0,442.0,79.0,-452.0
Relics,15805.0,113.0,4338.0,390.0,79.0,-467.0
Remilia,5984.918416987408,69.0,28330.654463538885,421.0,88.0,-413.0
Richback,-10467.42800155319,79.0,-10574.327200808055,454.0,88.0,-365.0
Rickyyan23,24608.2680762842,12.0,5462.80212064029,317.0,97.0,-358.0
Roooo,26064.103478716585,79.0,18276.998116349027,454.0,88.0,-437.0
SHawnHardy,25801.0,62.0,-15519.0,148.0,89.0,-72.0
SUOHA_,19709.0,63.0,-13206.0,162.0,88.0,-44.0
SZKC,34904.7463855865,70.0,-99.65550159985202,370.0,88.0,-386.0
SamBig,6255.961585904268,64.0,32871.75225213368,601.0,88.0,-368.0
Samengmeng,1918.0,67.0,-21718.0,328.0,89.0,-219.0
Scott,9803.681870304275,66.0,-23757.791255900454,316.0,89.0,-300.0
SeaDog,23156.496553743193,65.0,-29786.569899836253,341.0,95.0,-342.0
Shaggy,9466.0,67.0,22179.0,369.0,86.0,-467.0
ShaneWayne,9767.0,97.0,20311.0,86.0,92.0,-9.0
Sheep,32190.0,63.0,-22154.0,493.0,87.0,-404.0
Shino_L,-1170.692501557494,63.0,23126.411863605892,363.0,90.0,-426.0
Shuai_KeO_O,-21492.254838380966,72.0,-5343.9080524913825,441.0,95.0,-413.0
Siscon,-17583.69999998808,120.0,17687.243297810426,471.0,88.0,-276.0
Sky,6157.0,65.0,2109.0,324.0,91.0,-460.0
SkyCatcher,5630.491408138423,78.0,32028.580786999795,341.0,91.0,-328.0
SmallBear327,-32480.0,63.0,-20998.0,353.0,76.0,-467.0
So,-9240.0,64.0,17606.0,338.0,96.0,-460.0
Solider,-203.0,90.0,5821.0,344.0,96.0,-456.0
Storm,-3950.0,81.0,-1480.0,199.0,86.0,-191.0
TOASTXSX,11518.0,76.0,-18778.0,192.0,91.0,-243.0
TO_XZ,6665,44,6610,308,88,-241
TaiChi,40058.08163796429,65.0,-18608.76488937026,320.0,93.0,-387.0
TeachingFealings,35542.23540637474,68.0,-11670.189407952776,343.0,96.0,-359.0
Teague,-20826.30000001192,62.0,-28479.382414640255,286.0,93.0,-396.0
Terry__,-27851.735484293356,67.0,-15622.942089344819,332.0,93.0,-387.0
Tian_Y,9534.0,64.0,2124.0,307.0,88.0,-205.0
